ESPN Rank,FGA2017,Player Name,Team + Position,GP2017,Min2017,FGP2017,FTP2017,3PM2017,REB2017,AST2017,ATO2017,STL2017,BLK2017,TO2017,PTS2017,GP2018,Min2018,FGP2018,FTP2018,3PM2018,REB2018,AST2018,ATO2018,STL2018,BLK2018,TO2018,PTS2018,3PP2017,3PA2017,DD2017,FTA2017,FTM2017
80,13.8,D'Angelo Russell, Bkn PG,63,28.7,0.405,0.782,2.1,3.5,4.8,1.72,1.4,0.3,2.8,15.6,77,30,0.404,0.771,2.3,4.1,4.6,1.54,1.6,0.3,3,17.6,0.352,6,2,3,2.3
81,13.2,Zach Randolph, Sac PF,73,24.5,0.449,0.731,0.3,8.2,1.7,1.23,0.5,0.1,1.4,14.1,77,24,0.453,0.76,0.2,7.8,1.7,1.13,0.6,0.1,1.5,12.7,,,20,2.6,1.9
82,13.2,Wilson Chandler, Den SF,71,30.9,0.461,0.727,1.5,6.5,2,1.24,0.7,0.4,1.6,15.7,63,28,0.445,0.738,1.6,5.8,1.8,1.37,0.8,0.4,1.3,12.6,0.337,5,9,2.7,2
83,15.9,Dwyane Wade, Chi SG,60,29.9,0.434,0.794,0.8,4.5,3.8,1.65,1.4,0.7,2.3,18.3,74,28,0.436,0.791,0.5,4.2,4,1.57,1.3,0.5,2.6,17.2,0.31,2,2,4.7,3.7
84,,George Hill, Sac PG,49,31.5,0.477,0.801,1.9,3.4,4.2,2.4,1,0.2,1.7,16.9,69,30,0.441,0.795,1.7,3.7,3.9,2.43,1.1,0.2,1.6,13.7,0.403,5,,4,3.2
85,11.9,Danilo Gallinari,*,63,33.9,0.447,0.902,2,5.2,2.1,1.65,0.6,0.2,1.3,18.2,70,33,0.419,0.882,2.2,5,2.2,1.72,0.8,0.3,1.3,17.1,0.389,5,4,6.1,5.5
86,13.7,Evan Fournier, Orl SG,68,32.9,0.439,0.805,1.9,3.1,3,1.43,1,0.1,2.1,17.2,75,32,0.443,0.822,2.1,3.1,2.9,1.56,1.1,0.1,1.9,16.2,0.356,5,1,4.1,3.3
87,,Avery Bradley, Det SG,55,33.4,0.463,0.731,2,6.1,2.2,1.39,1.2,0.2,1.6,16.3,76,32,0.436,0.783,1.8,3.9,2.3,1.58,1.4,0.2,1.5,14.2,0.39,5,10,1.7,1.2
88,12.2,Kentavious Caldwell-Pope, LAL SG,76,33.3,0.399,0.832,2,3.3,2.5,2.24,1.2,0.2,1.1,13.8,76,33,0.4,0.826,2.2,3.5,2.3,1.71,1.4,0.2,1.4,15.1,0.35,6,1,2.4,2
89,,Jeremy Lin, Bkn PG,36,24.5,0.438,0.816,1.6,3.8,5.1,2.14,1.2,0.4,2.4,14.5,73,24,0.409,0.813,1.3,3.3,3.9,1.79,1,0.5,2.2,12.7,0.372,4,3,3.9,3.2
90,11.7,Markieff Morris, Wsh PF,76,31.2,0.457,0.837,0.9,6.5,1.7,0.98,1.1,0.6,1.7,14,78,31,0.457,0.803,1,6.6,2.2,1.16,1.2,0.6,1.9,14.1,0.362,3,9,2.8,2.4
91,8.1,Rajon Rondo, Nor PG,69,26.7,0.408,0.6,0.7,5.1,6.7,2.73,1.4,0.2,2.4,7.8,77,28,0.444,0.606,0.6,4.9,7.6,3.34,1.6,0.1,2.3,7.9,0.376,2,6,1.1,0.9
92,8.2,Steven Adams, OKC C,80,29.9,0.571,0.611,0,7.7,1.1,0.59,1.1,1,1.8,11.3,78,30,0.574,0.585,0,8.2,1.3,0.84,1,1.1,1.6,10.6,,,16,3.2,2
93,8.1,Patrick Beverley, LAC PG,67,30.7,0.42,0.768,1.6,5.9,4.2,2.81,1.5,0.4,1.5,9.5,74,28,0.415,0.742,1.6,4.4,3.5,2.64,1.3,0.4,1.3,8.9,0.382,4,6,1.4,1.1
94,13.5,Eric Gordon, Hou SG,75,31,0.406,0.84,3.3,2.7,2.5,1.55,0.6,0.5,1.6,16.2,71,30,0.42,0.852,3,2.6,3,1.78,0.8,0.4,1.7,15.3,0.372,9,,2.3,2
95,15.3,Derrick Rose, Cle PG,64,32.5,0.471,0.874,0.2,3.8,4.4,1.93,0.7,0.3,2.3,18,71,18,0.45,0.844,0.4,2,2.5,1.89,0.5,0.1,1.3,9.2,,,2,4,3.5
96,9.4,Pau Gasol, SA PF,64,25.4,0.502,0.707,0.9,7.8,2.3,1.85,0.4,1.1,1.3,12.4,76,25,0.487,0.765,0.4,7.8,2.5,1.82,0.4,1.2,1.4,11.1,,,11,2.9,2
97,10.7,Frank Kaminsky, Cha C,75,26.1,0.399,0.756,1.5,4.5,2.2,2.13,0.6,0.5,1,11.7,78,24,0.409,0.763,1.4,4.1,2,1.9,0.7,0.5,1,10.8,0.328,5,4,2.1,1.6
98,,Willy Hernangomez, NY C,72,18.4,0.529,0.728,0.1,7,1.3,0.96,0.6,0.5,1.4,8.2,78,24,0.528,0.747,0.1,8.6,2.2,1.21,0.8,0.7,1.8,10.5,,,11,1.7,1.3
99,13.1,Jordan Clarkson, LAL PG,82,29.2,0.445,0.798,1.4,3,2.6,1.3,1.1,0.1,2,14.7,78,20,0.427,0.815,1,2.4,1.9,1.5,0.8,0.1,1.3,10,0.329,4,,2,1.6
100,,Willie Cauley-Stein, Sac C,75,18.9,0.53,0.669,0,4.5,1.1,1.16,0.7,0.6,0.9,8.1,78,22,0.53,0.691,0,5.4,1.3,1.2,0.9,0.7,1.1,8.9,,,8,2,1.3
